,Job Title,Company,Company Rating,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance
0,Information Technology Analyst (Banking - Fresh Graduates),"D L RESOURCES PTE LTD
3.3",3.3,Employer Provided Salary:$2K - $6K,Singapore,-1,2.2,2.5,2.5,2.6
1,Information Technology - Mobile Applications Developer (Android),"Singapore Airlines
3.8",3.8,$89K - $96K (Glassdoor Est.),Singapore,-1,3.5,3.3,3.1,3.6
2,IT Project Manager,CI&T(思艾特),-1,Employer Provided Salary:$6K - $8K,Remote,-1,-1,-1,-1,-1
3,Staff Analyst - Information Technology (B2B),"Infineon Technologies
4.2",4.2,-1,Singapore,3.9,-1,-1,-1,-1
4,2024 Apple Internship - Information Systems and Technology,"Apple
4.2",4.2,-1,Singapore,3.8,-1,-1,-1,-1
5,"VP, Information Technology Risk & Governance Manager",SLOANE SHOREY CONSULTING PTE. LTD.,-1,Employer Provided Salary:$13K - $15K,Singapore,-1,-1,-1,-1,-1
6,Information Technology Engineer (IBM Mainframe/AS400 Operator),"D L RESOURCES PTE LTD
3.3",3.3,Employer Provided Salary:$3K - $6K,Singapore,-1,2.2,2.5,2.5,2.6
7,Information Technology – Mobile Applications Developer (iOS),"Singapore Airlines
3.8",3.8,$89K - $96K (Glassdoor Est.),Singapore,-1,3.5,3.3,3.1,3.6
8,Associate - Senior Support Analyst (Singapore) - Information Technology,"NOMURA SINGAPORE LIMITED
3.9",3.9,Employer Provided Salary:$7K - $11K,Singapore,-1,3.6,3.8,3.3,3.8
9,Information Technology (Navitaire COE) Analyst,"SCOOT PTE. LTD.
3.4",3.4,Employer Provided Salary:$4K - $8K,Singapore,-1,3.0,3.4,3.1,2.9
10,Assistant Manager - Information Technology,"ISS INTERNATIONAL SCHOOL PTE. LTD.
3.0",3.0,Employer Provided Salary:$4K - $5K,Bukit Merah Estate,-1,2.4,2.9,3.0,3.7
11,Solution Architect,"Morgan McKinley
4.2",4.2,Employer Provided Salary:$10K - $14K,Singapore,-1,3.6,4.1,3.9,4.1
12,"Manager, Information Technology (Navitaire)","SCOOT PTE. LTD.
3.4",3.4,Employer Provided Salary:$7K - $14K,Singapore,-1,3.0,3.4,3.1,2.9
13,Full Stack Web Developer (Information Technology),"SCOOT PTE. LTD.
3.4",3.4,Employer Provided Salary:$5K - $10K,Singapore,-1,3.0,3.4,3.1,2.9
14,INFORMATION TECHNOLOGY EXECUTIVE,Sunshine Welfare Action Mission (SWAMI),-1,Employer Provided Salary:$3K - $4K,Singapore,-1,3.9,5.0,3.9,4.5
15,Associate - Lead Business Analyst (Singapore) - Information Technology,"NOMURA SINGAPORE LIMITED
3.9",3.9,Employer Provided Salary:$7K - $11K,Singapore,-1,3.6,3.8,3.3,3.8
16,IT Support,Techbro Pte Ltd,-1,Employer Provided Salary:$2K - $5K,Jurong East New Town,-1,-1,-1,-1,-1
17,IT Support Assistant,"PropertyGuru Pte Ltd
3.7",3.7,-1,Singapore,3.2,-1,-1,-1,-1
18,SERVICE DESK MANAGER,"TERRA SYSTEMS PTE. LTD.
3.1",3.1,Employer Provided Salary:$3K - $8K,Hougang New Town,-1,2.6,3.0,3.0,3.4
19,IT Technician,Day One Pte Ltd,-1,Employer Provided Salary:$2K - $4K,Toa Payoh New Town,-1,-1,-1,-1,-1
20,Admin Executive - Information Technology,"ITCAN Pte Ltd
3.8",3.8,-1,Singapore,3.5,-1,-1,-1,-1
21,Regional Information Technology Manager - Financial Services,"Gravitas Recruitment Group
4.1",4.1,Employer Provided Salary:$150K - $200K,Singapore,-1,3.7,4.2,4.1,3.7
22,Information Technology - Project Management Office,"Singapore Airlines
3.8",3.8,$60K - $82K (Glassdoor Est.),Singapore,-1,3.5,3.3,3.1,3.6
23,IT Support Engineer (L1/L2),"ITCAN Pte Ltd
3.8",3.8,-1,Singapore,3.5,-1,-1,-1,-1
24,IT Support,FRONTIER FORCE TECHNOLOGY PTE LTD,-1,Employer Provided Salary:$3K - $4K,Singapore,-1,2.2,2.7,2.7,2.7
25,Information Technology Support Manager,CENTRECOM TECHNOLOGIES PTE. LTD.,-1,Employer Provided Salary:$5K - $6K,Singapore,-1,2.4,2.7,2.3,2.8
26,Procurement Engineer - Information Technology,"TRUST RECRUIT PTE. LTD.
4.3",4.3,Employer Provided Salary:$4K - $5K,Singapore,-1,4.0,4.0,4.0,4.0
27,Vice President - Principal Project Manager / Business Analyst (Singapore) - Information Technology,NOMURA INVESTMENTS (SINGAPORE) PTE. LTD.,-1,Employer Provided Salary:$12K - $21K,Singapore,-1,-1,-1,-1,-1
28,Information Technology - Lead Systems Engineer,"Singapore Airlines
3.8",3.8,$66K - $129K (Glassdoor Est.),Singapore,-1,3.5,3.3,3.1,3.6
29,IT User Support Specialist,"Avaloq
3.6",3.6,$79K - $101K (Glassdoor Est.),Queenstown Estate,-1,3.2,3.6,2.9,3.9
30,Rust Developer/Programmer,Cesil&Co Pte. Ltd,-1,Employer Provided Salary:$4K - $5K,Singapore,-1,-1,-1,-1,-1
31,Instrumentation & Control Engineer,Conny Tech,-1,Employer Provided Salary:$4K - $5K,Bedok New Town,-1,-1,-1,-1,-1
32,Junior Programmer,QN Software Pte Ltd,-1,-1,Singapore,5.0,-1,-1,-1,-1
33,Data Scientist - BCG X,"Boston Consulting Group
4.3",4.3,-1,Singapore,4.4,-1,-1,-1,-1
34,Software Engineering Internship – Summer 2024,"Hudson River Trading
4.3",4.3,$100K - $121K (Glassdoor Est.),Singapore,-1,4.6,3.9,4.2,3.7
35,IT Programmer Full-time/Part-time,"XDel
1.9",1.9,$37K - $56K (Glassdoor Est.),Bukit Merah Estate,-1,1.6,1.9,1.9,1.7
36,Software Engineer - BCG X,"Boston Consulting Group
4.3",4.3,-1,Singapore,4.4,-1,-1,-1,-1
37,Web Programmer and IT Support—Intern,Mocha Chai Laboratories,-1,$50K - $95K (Glassdoor Est.),Geylang Serai,-1,3.1,3.1,3.1,3.6
38,ERP Software Programmer,"HashMicro Pte Ltd
4.4",4.4,-1,Remote,4.6,-1,-1,-1,-1
39,Programmer,"The Esplanade Co Ltd
3.8",3.8,-1,Singapore,3.0,-1,-1,-1,-1
40,Applications/Systems Programmer (Storage),"TRINITY CONSULTING SERVICES PTE. LTD.
4.1",4.1,Employer Provided Salary:$7K - $11K,Singapore,-1,3.5,4.1,3.5,4.1
41,WEB PROGRAMMER,Soon Aik Global Pte Ltd,-1,-1,Singapore,-1,-1,-1,-1,-1
42,Applications/Systems Programmer (Windows AD/Cyberark),"TRINITY CONSULTING SERVICES PTE. LTD.
4.1",4.1,Employer Provided Salary:$7K - $11K,Singapore,-1,3.5,4.1,3.5,4.1
43,SOFTWARE PROGRAMMER,Dalstech Pte Ltd,-1,$36K - $108K (Glassdoor Est.),Old Kallang Airport Estate,-1,-1,-1,-1,-1
44,Software Developer / IT Programmer,"Top Global Limited
4.5",4.5,$36K - $108K (Glassdoor Est.),Singapore,-1,4.0,4.0,3.5,4.0
45,Intern – Front End Programmer,"AZENDIAN
2.8",2.8,-1,Singapore,2.8,-1,-1,-1,-1
46,Java Programmer,"SAGL CONSULTING PTE. LTD.
4.3",4.3,Employer Provided Salary:$6K - $11K,Singapore,-1,4.0,4.1,4.2,4.3
47,Applications/Systems Programmer (Messaging),"TRINITY CONSULTING SERVICES PTE. LTD.
4.1",4.1,Employer Provided Salary:$4K - $8K,Singapore,-1,3.5,4.1,3.5,4.1
48,Applications/Systems Programmer (UNIX/LINUX),"TRINITY CONSULTING SERVICES PTE. LTD.
4.1",4.1,Employer Provided Salary:$7K - $11K,Singapore,-1,3.5,4.1,3.5,4.1
49,Algorithm Development Internship – Summer 2024,"Hudson River Trading
4.3",4.3,$86K - $125K (Glassdoor Est.),Singapore,-1,4.6,3.9,4.2,3.7
