,Job Title,Company,Company Rating,Job Description,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
157,JAVA Programmers,Mathaniyun Pte Ltd,-1,"Non-Enterprise Server Environment
Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser















































Show More
Report",-1,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
158,Microsoft SQL Server (2008 R2 or above) Programmers,Mathaniyun Pte Ltd,-1,"Non-Enterprise Server Environment
Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser















































Show More
Report",-1,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
159,"Blockchain Solution Architect / Technical Architect, Technology Consulting","EY
3.9",3.9,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

Whole industries have been disrupted and transformed in recent years by digital technology.
As a Technology Consulting professional, you’ll help businesses realize the value they can gain from their IT investments — supporting strategy and being a key growth driver. As part of a high-performing team, you’ll deliver exceptional client service — providing advice on how technology enablement, digital transformation and enterprise intelligence contribute to performance improvement, as well as how IT can act as multiplying effect during major program transformations.











Show More
Report",$84K - $142K (Glassdoor Est.),Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Unknown,Unknown / Non-Applicable,-1,-1,-1
160,Senior Game Designer,KOTORIX SOFTWARE PTE. LTD.,-1,"About us:
We are a new upstart game development company, Kotorix Softwares, that dreams to make what games are supposed to be. Fun. We are developing a hack and slash rpg game that focuses on itemization as well as satisfying combat system. We are looking for a lead and Co-lead game designers to mentor and build this game

Responsibility:

Have either personal or professional experiences with unreal engine 5 and is able to teach junior programmers the skill trait.





























































Show More
Report",Employer Provided Salary:$5K - $6K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
161,Analyst Programmer (RPG/AS400) (Ref: TH25),"E-Cruit Team Pte Ltd
5.0",5.0,"Providing training and support to end-users
Analyse, design and implement legacy application systems
Continuous improvement to processes and practices with new ideas, concepts and methods
Preparation of user and system documentation
Any adhoc duties as assigned
Requirements:
Degree/Diploma in Computer Studies or relevant field
Min 2 years programming experience in RPG on IBM AS400/System i environment
Experience in Lotus Notes, Java and other Web Application development tools is an added advantage
Show More
Report",Employer Provided Salary:$4K - $8K,Bedok New Town,5.0,5.0,5.0,5.0,5.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
162,Software Programmer,"Talentvis
3.6",3.6,"Permanent
IT Engineers (Software/Applications/Database)
IT Engineers (System/Network/Hardware)
Salary Range
S$ 3,000 - S$ 4,500
Location
Singapore
Date Posted


Show More
Report",Employer Provided Salary:$3K - $5K,Singapore,3.4,3.4,3.6,3.3,3.4,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
163,Analyst Programmer,Workle Pte Ltd,-1,"Location: Bedok
Monday to Friday 8AM-5PM
Job Scope:
Analyse, design and implement changes to legacy application systems
Provide training and support to end-users
Prepare user and system documentation
Requirements
Degree/Diploma in Computer Studies or its equivalent
Show More
Report",Employer Provided Salary:$4K - $6K,Bedok New Town,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
164,Senior Rendering Programmer,"Ubisoft
3.8",3.8,"Company Description

Ubisoft’s 21,000 team members, working across more than 40 locations around the world, are bound by a common mission to enrich players’ lives with original and memorable gaming experiences. Their dedication and talent have brought to life many acclaimed franchises such as Assassin’s Creed, Far Cry, Watch Dogs, Just Dance, Rainbow Six, and many more to come. Ubisoft is an equal opportunity employer that believes diverse backgrounds and perspectives are key to creating worlds where both players and teams can thrive and express themselves. If you are excited about solving game-changing challenges, cutting-edge technologies, and pushing the boundaries of entertainment, we invite you to join our journey and help us create the unknown.
Since opening its doors in 2008, Ubisoft Singapore has become the biggest AAA game development studio in Southeast Asia. The 500-strong studio is home to 35+ different nationalities focused on delivering ambitious gaming experiences to our players. Ubisoft Singapore has been contributing to all the Assassin’s Creed® titles since Assassin’s Creed® II. It innovated within the franchise as the studio behind the naval battle gameplay and water technology in Assassin’s Creed® III, Assassin’s Creed® IV Black Flag® and most recently in Assassin’s Creed® Valhalla. Its expertise in AAA and live operations, combined with a passion for naval gameplay, pushed the team to lead the development of Skull and Bones™ revealed at E3 in 2017.






Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",10000+ Employees,1986,Company - Public,Video Game Publishing,Media & Communication,$2 to $5 billion (USD)
165,Application Analyst & Designer,"U3 Infotech Pte Ltd.
4.5",4.5,"Job Objectives
Gather and analyze users requirements and prepare/update Functional Specifications
Perform technical analysis and design and prepare/update System Technical Specifications
Design and develop quality jobs and programs
Conduct Unit testing and SIT and support UAT activities
Environment setup & readiness
Plan and perform program implementation
Provide post implementation support.

Key Responsibilities
A team player as well as ability to work independently to meet pre-determined targets and deliverables timeline
Assisting in defining system scope and objectives; researching and fact-finding; analyzing business and user requirements for complex projects, managing requirements and projects by conducting thorough testing of related applications.
Critical examination of requirements and understanding operations and systems.
Responsible for gathering requirement, design preparation and discussion with stakeholders
Create and modify procedures to solve problems considering technical capacity and limitations, and deliver quality software.
Implementing solutions that align with the organization's business objectives.

-
Bachelor’s degree in computer science/engineering.
Experience in AS400/iSeries database and operation system for at least 5 years.
Experience in system architecture and design. Job Description – Analyst Programmer/Tester
Hands on experience in ALDON & Control-M and technically proficient.
Requires superior analytics and problem-solving skills. Must be attentive to details.
Ability to work in a fast-paced, team-oriented environment.
A strong & assertive communicator in speaking & writing

-
Good documentation skills
Well versed with Microsoft Office applications, MS Teams
Broad knowledge of hardware, software and programming;
Banking knowledge in Loans products and Credit Administration process will be added advantage.

-
Working experience on OS/400 and RPG and COBOL programming
Show More
Report",$32K - $48K (Glassdoor Est.),Singapore,4.4,4.0,4.2,4.3,4.3,"['""Recruitment process was smooth and the management is very cooperative."" (in 5 reviews)', '""Lousy working environment and lazy human resources, who are stupid and lazy and idiot, and irresponsible"" (in 5 reviews)', '""Ease of communication."" (in 7 reviews)', -1, -1]","['""Mentioned salary is negotiable but end up non"" (in 5 reviews)', '""Doesn\'t care about employees"" (in 4 reviews)', -1, -1, -1]",201 to 500 Employees,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1
166,"GMC Inspire Designer, HP Exstream Programmers",Mathaniyun Pte Ltd,-1,"Non-Enterprise Server Environment
Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser





























Show More
Report",-1,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
167,Product Specialist,INFODECK TECHNOLOGY PTE. LTD.,-1,"Product/Solution Specialist - Infodeck Technology

We are seeking a specialist in product management to report to the Solutions Manager at Infodeck Technology. The incumbent shall be responsible for product design, requirements gathering, and collaborating with programmers for managing milestones and product revisions.

Requirements:
To be a successful Product Specialist at Infodeck Technology, you will need excellent communication and organizational skills. You must also have an aptitude for understanding customer needs and a passion for product development. In addition, you should possess the following qualifications:













Show More
Report",Employer Provided Salary:$4K - $5K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
