,Job Title,Company,Company Rating,Job Description,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews
913,QA Manual Tester - J42314,"ScienTec Consulting
3.8",3.8,"We are looking for QA Engineer to join one of the fast growing IT company in Singapore!
Basic up to $4,000 + AWS + bonus (2-3 months)
Working Hours: Mon-Fri office hours
Working Location: Tanjong Pagar
Permanent position, great working environment & career progression

Responsibilities:


Show More
Report",Employer Provided Salary:$4K,Singapore,3.4,3.7,3.3,3.6,3.4,"['""2. Good benefits"" (in 1 reviews)', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
914,Quality Assurance Engineer,Lapp Asia Pacific Pte Ltd,-1,"Objectives of the position:
This role is for the Customer Quality Support for LAP’s product distribution where Customer’s feedback & Product Quality requirements and issues are handled. The person will be responsible to handle Customers requirements and feedback such as complaints, test data request and other technical information as requested. Customer complaint handling will also include the necessary communication with all the stake holders (Customer, Supplier, CS, PP, SVM, LOG). Cable testing and understanding of cable specifications will be required to understand Customers request and feedback. Responsible to maintain the ISO9001 documentation and its implementation.
Job Description
Show More
Report",Employer Provided Salary:$3K - $3K,Tuas,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
915,Customer Quality Assurance Assistant Engineer,Lapp Asia Pacific Pte Ltd,-1,"Objectives of the position:
This role is for the Customer Quality Support for LAP’s product distribution where Customer’s feedback & Product Quality requirements / issues are handled. The person will be responsible to handle Customers requirements such as complaints, test data & other technical information as requested. Customer complaints handling will also include the necessary communication with all the stake holders (Customer, Supplier, CS, PP, SVM, LOG). Knowledge in cable testing and specification requirements will be required to understand Customer complaints (technical & logistics).
Key Responsibilities:
Manage Customer complaint processes such as acknowledgement of the complaint, updating into SAP, keeping track of the complaint, closure of the complaint & summarizing for monthly reporting. Proper handling of customers’ needs by providing accurate and timely information on enquiries related to cable standards, test reports and handling of customer complaints.
Show More
Report",Employer Provided Salary:$3K,Tuas,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
916,"Engineer Assistant, Software QA /Associate QA Engi...","Creative Technology Ltd
4.1",4.1,"We are looking for energetic, innovative and outspoken personal with a passion in consumer electronics software quality. You will be responsible for conducting software testing activities accordance to SQA test processes in a systematic, monitored, engineering manner. You will be assisting the Software Quality Assurance Engineer in exercising test cases designed and created for various software (applications, driver and firmware) test points.
Responsibilities:
To test the software throughout the development cycle in various platforms (Microsoft Windows OS; Apple Mac OS; Apple iOS; Google Android OS) and device firmware
Create and design test plans and test cases in TestRail


Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
917,Software Tester,"TESCOM (SINGAPORE) SOFTWARE SYSTEMS TESTING PTE LTD.
3.2",3.2,"Tescom Singapore is looking for a great :

Testing Specialist

Analyze design specifications and create comprehensive test plan for the project
Document individual test cases in the testing platform, and review past test cases periodically for optimization
Testing code for enhancements/bug fixes to ensure compliance quality assurance policy requirements and best practices and in accordance with business requirements


Show More
Report",Employer Provided Salary:$4K - $5K,Singapore,2.4,2.4,3.4,3.3,2.8,"['""3. Company have many client partners, possible to get more exposure if have opportunities to station at different client companies throughout your tenure."" (in 1 reviews)', '""4. HR is friendly and professional to work with, management will meet staff bi"" (in 1 reviews)', -1, -1, -1]","['""On top of needing to send monthly timesheet, staffs are required to submit report to note down your work in details to management weekly + need to meet management bi"" (in 1 reviews)', -1, -1, -1, -1]"
918,Software Automation Tester Intern (Jan 2024 Intake),"Terrascope
4.8",4.8,"Join us on a mission to save the planet!

Reversing the impact of climate change is one of the world’s biggest challenges. And businesses have a responsibility to lead the way. While individual consumer choices are important, over 80% of all the emissions reductions necessary for the world to reach Net-Zero, require business-level action. But despite the growing momentum and ambition from companies around the world to set Net-Zero goals, there are significant challenges to delivering on these ambitions. Business leaders don’t really know how they will get there. And the very first step, of getting emissions measurement right, is hard.

Terrascope is a smart carbon management and accounting platform that empowers corporations to decarbonise their operations, portfolios and supply chains in a trusted, confident, and secure manner. We are on a journey to build digital tools and analytics, datasets and algorithms, and an ecosystem of technical expertise and partnerships needed for companies to optimise their climate strategy.


Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
919,Quality Assurance Tester,"Grit Search
5.0",5.0,"Location
Singapore
Date
7 Sep
Industry
Technology - Consultancy
Work arrangement
On-site
Experienced in Test Execution and Management.
Experienced/Familiar with Automated Testing Tools
Enables full stack solutions through multi-disciplinary team planning and ecosystem integration to accelerate delivery and drive quality across the application lifecycle.
Show More
Report",Employer Provided Salary:$1K,Singapore,4.8,4.6,4.8,4.8,4.8,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
920,Software Design Quality Engineer (Medical Devices),"Illumina
3.8",3.8,"What if the work you did every day could impact the lives of people you know? Or all of humanity?
At Illumina, we are expanding access to genomic technology to realize health equity for billions of people around the world. Our efforts enable life-changing discoveries that are transforming human health through the early detection and diagnosis of diseases and new treatment options for patients.
Working at Illumina means being part of something bigger than yourself. Every person, in every role, has the opportunity to make a difference. Surrounded by extraordinary people, inspiring leaders, and world changing projects, you will do more and become more than you ever thought possible.
Position Summary:
The Software Quality group is a highly specialized group within Design Quality. The Software Quality Engineer 2 provides support to Illumina’s software development teams to ensure that the company’s product software is designed in accordance with Illumina’s policies/ procedures and applicable regulations (e.g. FDA) and ISO standards.

Illumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information.
Show More
Report",-1,Woodlands New Town,-1,-1,-1,-1,-1,"['""Good benefits provided to employee and dependents"" (in 62 reviews)', '""great people that seem to love what they do and love working here"" (in 82 reviews)', '""good work life balance"" (in 43 reviews)', '""Great culture and networking"" (in 63 reviews)', '""Friendly people, good pay and well defined career path."" (in 55 reviews)']","['""Treat contractors better as they don\'t receive much benefit for putting in equal or more work."" (in 62 reviews)', '""Those same smart people tend to want to reinvent the wheel"" (in 82 reviews)', '""no work life balance."" (in 43 reviews)', '""Culture has changed over the past 5 years"" (in 63 reviews)', '""pay is low doesn\'t understand how to run a software company"" (in 55 reviews)']"
921,Software Tester,"GMP Group
4.2",4.2,"Assist in software quality assurance to enhance testing process run test efficiency
Analyse requirements and specifications to create test plans and designs for system under testing
Perform functional, integration and system testing
Prepare and execute SIT tests
Execute test cases and document issues/bug report on each test case.
Work closely with managers, team leaders and software development members to ensure that bugs found are fixed before system release.
Ensure accuracy and completeness of system documentation such as functional specification and user guide




Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
922,"Associate - Technology Consulting, Cybersecurity (2023 Graduates)","EY
3.9",3.9,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

What if we didn’t focus on who you are now, but who you could become?
Here at EY, you’ll have the chance to build a truly exceptional experience. We’ll empower you with the latest technology, surround you with high-performing teams, and provide the global scale and diverse and inclusive culture you need to discover your full potential. Through our coaching and training programs, you’ll develop the skillsets you need to stay relevant today and in the future – all while building a network of colleagues, mentors, and leaders who will be on the journey with you at EY and beyond.



























Show More
Report",$74K - $114K (Glassdoor Est.),Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
923,Software Tester (SG),Unison Consulting Pte Ltd,-1,"Understand the requirements from internal and external stakeholders’ groups and work with the development team to define and improve the build system quality.
Review stories or requirement specs to ensure that requirements stated are correct, unambiguous and verifiable.
Discuss, analyse and recommend design improvements or corrections to developers throughout the development process.
Collaborate closely with stakeholders and project team to identify needs and requirements for estimation of testing scope and time frame.
Develop and establish quality assurance deliverables and testing framework, including create and maintain test plans and test cases in accordance with changing requirements, throughout development.
Show More
Report",$40K - $78K (Glassdoor Est.),Singapore,4.1,3.9,3.9,4.1,4.2,"['""Great Work Life Balance"" (in 7 reviews)', '""3. Good management ."" (in 8 reviews)', '""Giving employees with best pay packages in Industry."" (in 9 reviews)', '""3. Management and HR team is very supportive."" (in 2 reviews)', -1]","['""Too much ownership and no processes"" (in 2 reviews)', -1, -1, -1, -1]"
924,Customer Quality Assurance Assistant Engineer,"Snaphunt Pte Ltd
4.0",4.0,"Company
Snaphunt Pte Ltd
snaphunt.com
Designation
Customer Quality Assurance Assistant Engineer
Date Listed
18 Aug 2023
Job Type
Entry Level / Junior Executive
Full/Perm
Job Period
Immediate Start, Permanent
Profession
Others / General Work



Show More
Report",Employer Provided Salary:$2K - $3K,Singapore,3.7,3.2,4.2,3.9,4.2,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
925,"Quality Associate - Artificial Intelligence, SAP Labs Singapore","SAP
4.4",4.4,"We help the world run better
Our company culture is focused on helping our employees enable innovation by building breakthroughs together. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work. We offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your individual contributions, and a variety of benefit options for you to choose from.Apply now!

*SAP will be prioritizing candidates with full working rights in Singapore*


















Show More
Report",$74K - $120K (Glassdoor Est.),Queenstown Estate,4.1,4.0,4.4,4.0,4.3,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
926,Associate Engineer (critical project requirement),"Element Materials Technology
3.2",3.2,"Overview:
Element has an opportunity for an Associate Engineer to join our rapidly expanding team. As a member of the operations team, the Engineer position performs a variety of routine and non-routine testing assignments within the department assigned and insures timely and accurate test results under minimal direct supervision.

This rile is based in Ang Mo Kio, Singapore.

Responsibilities:
Perform Calibration and Measurement of Dimension gauges and instrument as per WI using CMM, reference master, tester etc (on site and in-house) with report and necessary administrative work
Conduct routine maintenance of lab equipment as schedule and assigned
Skills / Qualifications:
Company Overview:



Diversity Statement:

Show More
Report",$34K - $53K (Glassdoor Est.),Singapore,3.1,2.9,3.3,2.9,3.1,"['""Good pay depending on who you know."" (in 16 reviews)', '""good colleagues"" (in 18 reviews)', '""Work life balance, good team."" (in 14 reviews)', '""Management quality and technique as per standard"" (in 11 reviews)', '""Growing company with good values and leadership"" (in 9 reviews)']","['""low pay and not enough people to do the job"" (in 16 reviews)', '""Overtime is encouraged and work life balance does not seem to be valued."" (in 14 reviews)', '""Management will actively ignore your complaints, and dismiss any issues you have."" (in 11 reviews)', '""Medical is horrible, the leadership there will say to you, ""If there\'s work to be done, you\'re not allowed to leave."""" (in 9 reviews)', -1]"
927,Software QA Tester,"Hays
3.6",3.6,"Your new company
Join a market leading global bank that is in the midst of a regional expansion plan.
Your new role
You will be part of their Systems Development team that is responsible for managing the development, installation of the systems, as well as training for in-house users and other branches. Your day-to-day job responsibilities will include, but not limited to:
Responsible for running the quality assurance tasks for the assigned projects
Assisting to draft test criteria and test cases by proposing out-of-the-box scenarios.
#1244383
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
928,Quality Analyst - Tester,"U3 Infotech Pte Ltd.
4.5",4.5,"As a Senior / Lead Engineer, your key responsibilities include but are not limited to:

Support the QA Manager and project team to ensure test objectives, test strategies and test plans are in place in collaboration with internal stakeholders (data scientists, data analysts, data engineers, developers, marketing teams)

Ensure test creations and test executions are done as per requirements and within planned timelines; Constantly clarify requirements by collaborating with internal and external stakeholders to ensure proper data tracking is in place to enable accurate measurement of various digital properties (websites and mobile apps)
Ensure traceability of test cases against test requirements
Support the QA Manager and project team to monitor, measure, control and report on the test progress, quality status and test results by adapting the test plan and compensating as needed to adjust to evolving conditions
Ensure all defects logged in JIRA and other recommended tools to track & retest defects till closure
Support the QA Manager and project team to ensure test summary and defect reports are generated and are available as needed
Represent the QA function by actively participating in necessary planning and briefing sessions, daily stand-ups, vendor engagement and retrospective meetings to provide updates and highlight issues / blockers if any
Implement improvements to QA methodologies and strategies to increase test efficiency (productivity) and effectiveness within the project and recommend to the wider organization
Support the QA Manager and project team to generate necessary QA KPI / metrics for PMO and management reporting
Support the QA Manager and project team to raise awareness, adoption and integration of QA process and automation in software development life cycle
Strive to achieve efficient test coverage
Support the QA Manager and project team to cultivate, disseminate, and enforce functional and technical policies, procedures and quality assurance best practises.
Support UAT in collaboration with users and relevant stakeholders


5 to 8 yrs of experience in the testing domain, preferably with 2 years in a Senior testing / QA role.
High level of attention to detail and help raise the overall test maturity of the organization.
Have experience working in large scale testing projects
Must have experience working in testing data / digital analytics solutions (using GA360/GTM or similar marketing tools)
Possess knowledge in web programming languages (Javascript, HTML, SQL, XML feed, CSS)
Experience in reporting with GA360, Google Data Studio and/or BigQuery
Experience in testing and validation of tagging changes throughout the development lifecycle
Must have experience in API testing


Project/Test Management tools such as qTest, JIRA, Confluence and related.
Web and Mobile test automation frameworks / tools (Selenium, Appium, TOSCA or similar).
Knowledge in e-commerce domain
Knowledge of Firebase for testing mobile apps
Good experience in SDLC practises in Agile / Waterfall.
Good knowledge of test methodologies and approaches.
Possess excellent verbal and written communication skills.
Possess good stakeholder management and vendor management.
Show More
Report",$74K - $121K (Glassdoor Est.),Singapore,4.4,4.0,4.2,4.3,4.3,"['""Attractive Good salary and benefit’s."" (in 14 reviews)', '""interview process was done quickly too, love working with them, very understanding HR."" (in 11 reviews)', '""People are kind and coordinate whenever needed."" (in 7 reviews)', '""They have good clients well known in Singapore and across world."" (in 5 reviews)', -1]","['""While resigning they will take your 1 month of salary."" (in 14 reviews)', '""Basic benefits"" (in 5 reviews)', -1, -1, -1]"
929,Gaming QA Project Manager,"TransPerfect
3.1",3.1,"TransPerfect Is More Than Just a Job…
Our greatest asset is our people, and nothing is more important to us than ensuring that everyone knows that. Each of our 100+ offices has its own individual identity, and each also has its own unique rewards.
1.0 OVERVIEW
The Quality Assurance Manager is highly experienced in managing Testing teams within the game industry. Their main role will be dedicated to ensuring the successful project execution. They will be responsible for setting up, training, and managing the Quality Assurance Testing Production team. The Quality Assurance Manager will provide support to the Sales team helping their clients and supporting developing of new business.
2.0 DESCRIPTION
Lead a Gaming QA Testing team.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
930,UX / Usability Testing Intern,"Conversion Hub Holdings Pte Ltd
4.0",4.0,"Job Description
Coordination of research activities (online surveys and focus groups)
Process research data
Analyze findings
Report writing
Conduct quality checks of data and reports
Collaborate closely with internal teams
Requirements
Currently pursuing your Diploma or Degree, Masters in Singapore












Show More
Report",-1,Geylang Serai,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
931,Software Development Engineer,"Thermo Fisher Scientific
3.4",3.4,"Job Description
Who is Thermo?
At Thermo Fisher Scientific, we do important work, like helping customers in finding cures for cancer, protecting the environment or making sure our food is safe. Our work has real-world impact, and we support each other in achieving career goals.
In a sophisticated world of developing products for studying cancer and other disease processes, we need a phenomenal software engineer! With applications that span the cancer research field—from basic research through drug discovery—help us develop new automated equipment for sample processing to aid the scientific community in making new advancements faster.
Show More
Report",$60K - $82K (Glassdoor Est.),Tuas,3.1,2.9,3.5,2.9,3.3,"['""Good work life balance and"" (in 162 reviews)', '""Good Pay and overtime available."" (in 221 reviews)', '""Good benefits Plenty of overtime"" (in 117 reviews)', '""Good management and good growth"" (in 129 reviews)', '""People are great and really friendly"" (in 157 reviews)']","['""There is no work life balance and project are not at all good."" (in 162 reviews)', '""Pay is low and not at levfel"" (in 221 reviews)', '""Benefits are horrible and expensive"" (in 117 reviews)', '""Poor Management/ Manager change very too often."" (in 129 reviews)', '""People are friendly but people aren\'t super close"" (in 157 reviews)']"
932,Nodejs Web Developer - Fleetnetics,"DewTouch Innovations Pte Ltd
2.8",2.8,"Fleetnetics empowers the rental, workshops and spare parts companies with the best in class automotive management platform, productivity services & connects them to their clients via our ecosystem.
If you are smart, hungry and not shy of hard work, you might get the chance to play a key role in web development for one of Singapore’s leading fleet management system. (http://www.fleetnetics.com)
Our customers rely on us to deliver the inteligence, technology and human expertise they need to find trusted answers.
Join our exciting, fast-growing international company, offering a friendly, informal and creative environment with many opportunities for personal and professional growth.
Show More
Report",Employer Provided Salary:$2K - $5K,Geylang Serai,2.6,2.6,2.8,2.6,2.6,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
933,Mobile Web Application Developer (React Native),BRAINDGE RECRUITMENT SOLUTIONS PTE. LTD.,-1,"Job Responsibilities:
Develop, test, deploy, and maintain APP and systems integrations required for the operation.
Ensure best practices are used throughout the software development life cycle.
Actively participate in all aspects of the software development process.
Collaborate with other software engineers, business analysts and software architects to plan, design, develop, test, and maintain the APP.
Participate in peer-reviews of solution designs and related code.
Deploy systems to production and provide post-implementation support.
Show More
Report",Employer Provided Salary:$4K - $6K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
934,"Software Engineer, AI Centre for Educational Technologies - School of Computing (1 year)","National University of Singapore
4.1",4.1,"Date: 12 Sep 2023
Location: COMPUTING, Kent Ridge Campus, SG
Company: National University of Singapore
Job Purpose

The AI Centre for Educational Technologies (AICET) is a research centre that is focused on developing technologies to improve learning. AICET collaborates with the Ministry of Education, Singapore and the National University of Singapore on various projects to build systems that provide immediate personalised feedback to the students, providing content that adapts to their performance, and improve assessment and grading efficiency and effectiveness.








Show More
Report",$27K - $48K (Glassdoor Est.),Singapore,3.6,3.5,3.8,3.6,3.9,"['""good working environment and people are very helpful"" (in 14 reviews)', '""Good Work life balance"" (in 16 reviews)', '""friendly colleagues"" (in 9 reviews)', -1, -1]","['""Fixed salary for years and years, not attractive at all"" (in 12 reviews)', '""career Progression and future prospects"" (in 11 reviews)', -1, -1, -1]"
935,Web Application Developer,"Recruit Express
3.3",3.3,"Singapore |
Posted: Sep 15, 2023
Responsibilities:
Develop, upkeep, and improve both existing and new software systems to align with business needs.
Collaborate with end-users and stakeholders to outline user requirements and design specifications.
Explore and enhance applications by incorporating the latest advancements in technology.
Perform system testing to ensure that applications meet user-defined requirements.

Show More
Report",Employer Provided Salary:$4K - $5K,Singapore,3.1,3.2,3.3,3.2,3.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
936,Web Developer,"ALLIED CONTAINER (ENGINEERS & MANUFACTURERS) PTE LTD
3.1",3.1,"Please whatsapp us your resume at 98363756


Allied Container Group is a leading container haulage operator and yard operator founded in Singapore in 1975. We are dedicated to using technology and artificial intelligence to automate and improve the company’s current operations via software and hardware means.
As part of the Technology & Operations team, we are looking for a developer to work on existing enterprise web applications.
Job Responsibilities
Show More
Report",Employer Provided Salary:$3K - $6K,Singapore,2.1,2.3,2.3,2.3,2.8,"['""Good people to work with"" (in 1 reviews)', '""Good for work life balance"" (in 1 reviews)', '""Relaxing working environment."" (in 1 reviews)', -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
