,Job Title,Company,Company Rating,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews
258,"Software Engineer II, Payments Technology","JPMORGAN CHASE BANK, N.A.
4.1",4.1,Employer Provided Salary:$6K - $12K,Singapore,4.0,3.9,4.0,3.7,3.5,"['""Good work life balance and not hectic"" (in 262 reviews)', '""Good salary and bonus."" (in 300 reviews)', '""good culture and values."" (in 221 reviews)', '""Good benefit but hard to find"" (in 121 reviews)', '""work was nice and people great"" (in 176 reviews)']","['""Only problem is No work life balance"" (in 262 reviews)', '""Less salary compared to other companies"" (in 300 reviews)', '""Toxic Culture and heavy politics."" (in 221 reviews)', '""The benefits are almost none for Interns"" (in 121 reviews)', '""Careless people, unwilling to help, bad organization."" (in 176 reviews)']"
259,Software Developer,"Titansoft Singapore
4.2",4.2,Employer Provided Salary:$5K - $6K,Singapore,3.8,4.1,4.2,3.8,3.7,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
260,Software Developer,JTP HOLDINGS PTE. LTD.,-1,Employer Provided Salary:$10K - $20K,Singapore,2.9,3.4,2.4,3.5,4.5,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
261,Software Engineer (Remote),"Palazon Technology Pte Ltd
3.0",3.0,Employer Provided Salary:$5K,Remote,2.9,2.9,3.0,3.0,3.2,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
262,Java-J2EE Developer,"Wipro Limited
2.8",2.8,$38K - $48K (Glassdoor Est.),Singapore,2.8,2.6,3.1,3.0,3.2,"['""Work life balance is good but sometimes if required you need to stretch a little ."" (in 2213 reviews)', '""Salary is good and working nature is good"" (in 3024 reviews)', '""work culture is good and cooperative"" (in 1587 reviews)', '""Management is good and supportive"" (in 1276 reviews)', '""Job security and good to start a career as a fresher"" (in 2770 reviews)']","['""No work life balance and no proper goals and vision set for their teams and also for strategic projects."" (in 2213 reviews)', '""Less salary and not enough hike provided"" (in 3024 reviews)', '""over all good and work culture"" (in 1587 reviews)', '""Management is poor and negligent"" (in 1276 reviews)', '""No job security when we are in freepool or bench"" (in 2770 reviews)']"
263,Java Developer - Entry/Fresh Graduate,"DXC Technology
3.6",3.6,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
264,Software Engineer,"Airwallex
3.4",3.4,$81K - $128K (Glassdoor Est.),Singapore,3.5,3.5,3.0,2.9,3.0,"['""Great culture Rewarding work Good perks"" (in 12 reviews)', '""Really smart colleagues"" (in 14 reviews)', '""3. We always use the latest technology stack, no historical burden on the code"" (in 10 reviews)', '""Unicorn on the rise with good financial opportunity."" (in 8 reviews)', '""Good internal support and always can get clear guidance from management team, also our product is very strong"" (in 6 reviews)']","['""Bad culture with little concern of wellbeing of employees."" (in 12 reviews)', '""The management team is short"" (in 6 reviews)', -1, -1, -1]"
265,Software Engineer (Fusion Poly Graduate Programme),"NCS
3.6",3.6,$58K - $62K (Glassdoor Est.),Singapore,3.5,3.4,3.4,3.3,3.2,"['""Work life balance is good"" (in 133 reviews)', '""Competitive salary and benefits."" (in 139 reviews)', '""Management Good to the staffs"" (in 77 reviews)', '""good benefits for Perm employees"" (in 50 reviews)', '""Very helpful and friendly colleagues"" (in 91 reviews)']","['""expect to have no work life balance"" (in 133 reviews)', '""Low salary and bonus Have to OT some days 3 days WIO"" (in 139 reviews)', '""Bad management and no hike"" (in 77 reviews)', '""contract role have very less benefit than permanent/direct contract role"" (in 50 reviews)', '""colleague are all very friendly"" (in 91 reviews)']"
266,Lead Software Engineer,"JPMORGAN CHASE BANK, N.A.
4.1",4.1,Employer Provided Salary:$10K - $20K,Singapore,4.0,3.9,4.0,3.7,3.5,"['""Good work life balance and not hectic"" (in 262 reviews)', '""Good salary and bonus."" (in 300 reviews)', '""good culture and values."" (in 221 reviews)', '""Good benefit but hard to find"" (in 121 reviews)', '""work was nice and people great"" (in 176 reviews)']","['""Only problem is No work life balance"" (in 262 reviews)', '""Less salary compared to other companies"" (in 300 reviews)', '""Toxic Culture and heavy politics."" (in 221 reviews)', '""The benefits are almost none for Interns"" (in 121 reviews)', '""Careless people, unwilling to help, bad organization."" (in 176 reviews)']"
267,Web Developer,"ALLIED CONTAINER (ENGINEERS & MANUFACTURERS) PTE LTD
3.1",3.1,Employer Provided Salary:$3K - $6K,Singapore,2.1,2.3,2.3,2.3,2.8,"['""Good people to work with"" (in 1 reviews)', '""Good for work life balance"" (in 1 reviews)', '""Relaxing working environment."" (in 1 reviews)', -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
268,Java Software Engineer (IT Analyst),"UBS AG
3.9",3.9,Employer Provided Salary:$8K - $15K,Singapore,3.6,3.2,4.1,3.6,3.9,"['""depends on your team but my current team has a good work life balance and a decent work from home options"" (in 119 reviews)', '""Salary is good, office is fine"" (in 123 reviews)', '""management is good"" (in 54 reviews)', '""good culture and projects to work on"" (in 92 reviews)', '""Great people to work with all trying their best to achieve the best results"" (in 74 reviews)']","['""No Work life balance especially in pandemic"" (in 119 reviews)', '""school, hierarchical, average salary, low opportunities"" (in 123 reviews)', '""Promises made by the management are false."" (in 54 reviews)', '""Employee friendly culture in my company"" (in 92 reviews)', '""Great team, good coffee, amazing people"" (in 74 reviews)']"
269,Technology Developer Analyst Internship 2024 Singapore,"BARCLAYS EXECUTION SERVICES LIMITED SINGAPORE BRANCH
4.0",4.0,Employer Provided Salary:$4K - $6K,Singapore,3.8,3.9,4.0,3.6,3.9,"['""Good work life balance and relaxed"" (in 304 reviews)', '""Good culture and not very hectic"" (in 266 reviews)', '""Good people to work with"" (in 228 reviews)', '""Good benefits out with standard wages"" (in 163 reviews)', '""Good pay and learning environment"" (in 274 reviews)']","['""No work life balance"" (in 304 reviews)', '""Toxic culture that favours internal competition over collaboration"" (in 266 reviews)', '""Not great for people with ambition"" (in 228 reviews)', '""Company benefits, great place to work"" (in 163 reviews)', '""Low pay compare to market"" (in 274 reviews)']"
270,Software Development Engineer,"Thermo Fisher Scientific
3.4",3.4,-1,Tuas,-1,-1,-1,-1,-1,"['""Good work life balance and"" (in 162 reviews)', '""Good Pay and overtime available."" (in 221 reviews)', '""Good benefits Plenty of overtime"" (in 117 reviews)', '""Good management and good growth"" (in 129 reviews)', '""People are great and really friendly"" (in 157 reviews)']","['""There is no work life balance and project are not at all good."" (in 162 reviews)', '""Pay is low and not at levfel"" (in 221 reviews)', '""Benefits are horrible and expensive"" (in 117 reviews)', '""Poor Management/ Manager change very too often."" (in 129 reviews)', '""People are friendly but people aren\'t super close"" (in 157 reviews)']"
271,Full-Stack Software Engineer,"Tesla
3.6",3.6,$95K - $118K (Glassdoor Est.),Toa Payoh New Town,3.7,3.7,3.3,3.1,2.9,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
272,Software Engineer,"Morgan McKinley
4.2",4.2,-1,Singapore,-1,-1,-1,-1,-1,"['""Good Career growth"" (in 1 reviews)', '""Good Work culture"" (in 1 reviews)', -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
273,MERN Full Stack Developer- WORK FROM HOME,"Bookipi
5.0",5.0,Employer Provided Salary:$50K - $65K,Singapore,4.6,4.4,5.0,4.6,4.6,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
274,Software Engineer,"Airwallex
3.4",3.4,$81K - $128K (Glassdoor Est.),Singapore,3.5,3.5,3.0,2.9,3.0,"['""Great culture Rewarding work Good perks"" (in 12 reviews)', '""Really smart colleagues"" (in 14 reviews)', '""3. We always use the latest technology stack, no historical burden on the code"" (in 10 reviews)', '""Unicorn on the rise with good financial opportunity."" (in 8 reviews)', '""Good internal support and always can get clear guidance from management team, also our product is very strong"" (in 6 reviews)']","['""Bad culture with little concern of wellbeing of employees."" (in 12 reviews)', '""The management team is short"" (in 6 reviews)', -1, -1, -1]"
275,React Front End Developer/Web devs - REMOTE,"Bookipi
5.0",5.0,Employer Provided Salary:$4K - $6K,Singapore,4.6,4.4,5.0,4.6,4.6,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
276,"Software Engineer, Full Stack, Search","Google
4.4",4.4,-1,Singapore,-1,-1,-1,-1,-1,"['""Good fine and the work life balance is good"" (in 1291 reviews)', '""People are great and nice"" (in 1587 reviews)', '""good benefits and but this isn\'t as important now that we\'re not in the office"" (in 1107 reviews)', '""The base salary was good and they are very accepting of candidates with potential"" (in 1684 reviews)', '""Good culture and was fun"" (in 1465 reviews)']","['""The work life balance is bad"" (in 1291 reviews)', '""Mostly people are rude and disgusting."" (in 1587 reviews)', '""Great benefits in a good location"" (in 1107 reviews)', '""they pay good salary and most of my team was so cooperative"" (in 1684 reviews)', '""Google has bad culture in the organization"" (in 1465 reviews)']"
277,"Backend Engineer, Technology Platform","Airwallex
3.4",3.4,$81K - $96K (Glassdoor Est.),Singapore,3.5,3.5,3.0,2.9,3.0,"['""Great culture Rewarding work Good perks"" (in 12 reviews)', '""Really smart colleagues"" (in 14 reviews)', '""3. We always use the latest technology stack, no historical burden on the code"" (in 10 reviews)', '""Unicorn on the rise with good financial opportunity."" (in 8 reviews)', '""Good internal support and always can get clear guidance from management team, also our product is very strong"" (in 6 reviews)']","['""Bad culture with little concern of wellbeing of employees."" (in 12 reviews)', '""The management team is short"" (in 6 reviews)', -1, -1, -1]"
278,"Assoc, Security Engineer - Data Security, Information Security Services, Technology & Operations (WD56201)","DBS BANK LTD.
4.0",4.0,Employer Provided Salary:$4K - $7K,Singapore,3.9,3.9,4.0,3.7,3.6,"['""Good work life balance and stable"" (in 1135 reviews)', '""Good benefits and my co workers are approachable"" (in 715 reviews)', '""Colleagues are friendly and approachable"" (in 799 reviews)', '""Culture is good and familial."" (in 922 reviews)', '""Salary is good but lots of imbalance such that there\'s always jealousy among staff."" (in 863 reviews)']","['""No work life balance if you do not like your target as it is a sales role"" (in 1135 reviews)', '""No benefit for off roll employees"" (in 715 reviews)', '""competitive because too many colleagues"" (in 799 reviews)', '""Working environment and culture is toxic"" (in 922 reviews)', '""The Salary is low and poor"" (in 863 reviews)']"
279,Fullstack Software Engineer,"PERSOLKELLY Singapore
3.3",3.3,$96K - $132K (Glassdoor Est.),Singapore,3.0,2.9,3.3,3.1,3.4,"['""Competitive Salaries, they can give salary you want"" (in 12 reviews)', '""Good Clients,"" (in 4 reviews)', '""Very friendly and helpful colleagues"" (in 3 reviews)', -1, -1]","['""They will negotiate with you and reduce your salary"" (in 12 reviews)', '""No benefits are provided to employees"" (in 4 reviews)', '""Contact job ,salary less, need focus on employees"" (in 3 reviews)', -1, -1]"
280,Security Architect,"STANDARD CHARTERED BANK
4.0",4.0,Employer Provided Salary:$11K - $21K,Singapore,3.7,3.8,3.9,3.4,3.7,"['""Good work life balance"" (in 67 reviews)', '""Process oriented and strict follow of rules and regulations regarding systems and tools plus good salary"" (in 45 reviews)', '""good benefit"" (in 24 reviews)', '""Great atmosphere, the team and management are helpful"" (in 34 reviews)', '""Good People to work with"" (in 30 reviews)']","['""No work life balance"" (in 67 reviews)', '""1. Less salary as compare to other bank"" (in 45 reviews)', '""not so great benefit as it is in other financial firms."" (in 24 reviews)', '""Bad management and bad suggestions"" (in 34 reviews)', '""Not many people care about the company"" (in 30 reviews)']"
281,"Associate, Security Engineer - Data Security, Information Security Services, Technology and Operations (ID: WD56200)","DBS BANK LTD.
4.0",4.0,Employer Provided Salary:$4K - $7K,Singapore,3.9,3.9,4.0,3.7,3.6,"['""Good work life balance and stable"" (in 1135 reviews)', '""Good benefits and my co workers are approachable"" (in 715 reviews)', '""Colleagues are friendly and approachable"" (in 799 reviews)', '""Culture is good and familial."" (in 922 reviews)', '""Salary is good but lots of imbalance such that there\'s always jealousy among staff."" (in 863 reviews)']","['""No work life balance if you do not like your target as it is a sales role"" (in 1135 reviews)', '""No benefit for off roll employees"" (in 715 reviews)', '""competitive because too many colleagues"" (in 799 reviews)', '""Working environment and culture is toxic"" (in 922 reviews)', '""The Salary is low and poor"" (in 863 reviews)']"
282,Software Engineer (AI Verify),IMD Info-communications Media Development Authority,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
283,PROGRAMMERS AND SOFTWARE DEVELOPMENT PROFESSIONAL,"OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD
4.0",4.0,Employer Provided Salary:$7K - $12K,Singapore,3.9,3.8,3.8,3.8,4.0,"['""Monthly salary is good."" (in 31 reviews)', '""good benefits"" (in 19 reviews)', '""The company which identifies the talented employees"" (in 14 reviews)', -1, -1]","['""2) No salary increment."" (in 31 reviews)', '""No Job security due to limited projects and client dependency."" (in 18 reviews)', '""less benefits and lower hikes"" (in 19 reviews)', '""poor work life balance"" (in 5 reviews)', '""1. Company does not care for the employees once outsourced to the client."" (in 14 reviews)']"
284,"Software Engineer, Backend","Google
4.4",4.4,-1,Singapore,-1,-1,-1,-1,-1,"['""Good fine and the work life balance is good"" (in 1291 reviews)', '""People are great and nice"" (in 1587 reviews)', '""good benefits and but this isn\'t as important now that we\'re not in the office"" (in 1107 reviews)', '""The base salary was good and they are very accepting of candidates with potential"" (in 1684 reviews)', '""Good culture and was fun"" (in 1465 reviews)']","['""The work life balance is bad"" (in 1291 reviews)', '""Mostly people are rude and disgusting."" (in 1587 reviews)', '""Great benefits in a good location"" (in 1107 reviews)', '""they pay good salary and most of my team was so cooperative"" (in 1684 reviews)', '""Google has bad culture in the organization"" (in 1465 reviews)']"
